관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,
44250-00008,엄사공원6,근린공원,,충청남도 계룡시 엄사면 엄사리 산12-28,36.285942,127.244008,109505,운동기구13,,"파고라3,의자13",충령탑1,"화장실1,보안등21,식수대1,CCTV",1991-07-31,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00009,향한공원8,근린공원,,충청남도 계룡시 엄사면 향한리 산15-1,36.281163,127.230353,28500,미조성,미조성,미조성,미조성,미조성,1991-07-31,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00010,배골공원7,어린이공원,,충청남도 계룡시 금암동 175,36.272754,127.2473883,2578,운동기구12,종합놀이대,"파고라2,의자6",,"보안등5,식수대1,CCTV",1994-08-23,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00011,엄사1호공원1,어린이공원,,충청남도 계룡시 엄사면 엄사리 279,36.2881675940,127.2393910524,4750,운동기구10,"종합놀이대,흔들놀이","파고라1,정자1,의자25",,"화장실1,보안등7,CCTV",1991-07-31,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00012,엄사2호공원2,어린이공원,,충청남도 계룡시 엄사면 엄사리 232-71,36.282911,127.238386,4337,운동기구5,"종합놀이대,흔들놀이","정자2,의자10",,"화장실1,보안등10,CCTV",1991-07-31,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00013,엄사3호공원4,어린이공원,,충청남도 계룡시 엄사면 엄사리 130,36.290372,127.238857,1685,운동기구7,"종합놀이대,흔들놀이","파고라2,의자8",,"화장실1,보안등3,CCTV",1991-05-20,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00014,엄사4호공원5,어린이공원,,충청남도 계룡시 엄사면 엄사리 252-1,36.28892298,127.237566,2850,운동기구5,"종합놀이대,흔들놀이","파고라2,의자8",,"화장실1,보안등6,CCTV",1991-05-20,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00015,엄사5호공원6,어린이공원,,충청남도 계룡시 엄사면 엄사리 264,36.287445,127.234159,1519,운동기구5,"종합놀이대,흔들놀이","파고라2,의자10",,"화장실1,보안등3,CCTV",1991-05-20,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00016,대성공원1,묘지공원,,충청남도 계룡시 두마면 입암리 산33-1,36.245152,127.265343,119815,대성묘지,미조성,미조성,미조성,미조성,1991-07-31,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00017,공원2,소공원,,충청남도 계룡시 두마면 농소리 22,36.258823,127.264483,1014,미조성,미조성,미조성,미조성,미조성,2012-08-27,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00018,공원3,소공원,,충청남도 계룡시 두마면 농소리 80,36.26097988,127.256715,340,미조성,미조성,미조성,미조성,미조성,2012-08-27,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00019,공원4,소공원,,충청남도 계룡시 신도안면 남선리 1345,36.296364,127.241932,4158,,,,,,2012-10-10,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00020,공원5,소공원,,충청남도 계룡시 두마면 입암리 630,36.252308,127.2683528,562,,,"파고라1,의자4",,"음수대1,보안등3,보호수1",2012-10-17,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00021,공원6,소공원,,충청남도 계룡시 두마면 두계리 104-3,36.262739,127.271996,10437,미조성,미조성,미조성,미조성,미조성,2014-11-10,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00022,공원7,소공원,,충청남도 계룡시 신도안면 남선리 1019,36.295087,127.242082,11607,미조성,미조성,미조성,미조성,미조성,2014-11-10,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00023,공원9,소공원,,충청남도 계룡시 두마면 농소리 185,36.2604555801,127.2561269646,498,미조성,미조성,미조성,미조성,미조성,2014-12-30,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00024,남선소공원1,소공원,,충청남도 계룡시 신도안면 남선리 286-1,36.302224,127.245717,4967,미조성,미조성,미조성,미조성,미조성,2009-12-30,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00025,왕대공원8,소공원,,충청남도 계룡시 두마면 두계리 6-5,36.265203,127.279755,8820,미조성,미조성,미조성,미조성,미조성,2008-05-30,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00026,입암공원1,역사공원,,충청남도 계룡시 두마면 입암리 99,36.249119,127.270743,10015,,,,신석기 유적,,2007-02-21,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00027,금암공원1,수변공원,,충청남도 계룡시 금암동 22-1,36.274379,127.258814,40505,운동기구16,,"파고라1,정자2,의자36",,"화장실1,음수대5,보안등77,CCTV",1991-07-31,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44250-00028,용수말2,수변공원,,충청남도 계룡시 두마면 농소리 244,36.256433,127.254284,2590,미조성,미조성,미조성,미조성,미조성,2014-12-30,계룡시,042-840-2672,2019-11-25,6440000,충청남도,
44270-00001,공원:101(당진:01 정안공원),근린공원,,충청남도 당진시 원당동 941-2,36.90487154,126.6383544,261870,,,,,,1968-10-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00002,공원:102(당진:02 계림공원),근린공원,,충청남도 당진시 수청동 산148,36.89744497,126.6450933,333859,,,,,,1968-10-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00003,공원:103(당진:03 승리봉공원),근린공원,,충청남도 당진시 읍내동 507-12,36.89554285,126.627703,24179,,,,,,1968-10-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00004,공원:104(당진:04 채운공원),근린공원,,충청남도 당진시 채운동 357-21,36.89064383,126.619224,185744,,,,,,1968-10-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00005,공원:106(당진:05 송정공원),근린공원,,충청남도 당진시 대덕동 896-4,36.88061528,126.6378358,246266,,,,,,1968-10-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00006,공원:107(당진:06 남산공원),근린공원,,충청남도 당진시 읍내동 234-33,36.8932532636,126.6360981271,50930,,,,,,1986-12-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00007,공원:116(당진:15 해바라기공원),근린공원,,충청남도 당진시 대덕동 1710,36.8861567872,126.6398246813,4286,,,,,,2000-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00008,공원:117(당진:16 채송공원),근린공원,,충청남도 당진시 읍내동 1068,36.8900762111,126.6391197095,4987,,,,,,2000-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00009,공원:118(당진:17 라일락공원),근린공원,,충청남도 당진시 읍내동 934,36.8928876792,126.6391892,3135,,,,,,2000-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00010,공원:119(당진:21 한마음공원),근린공원,,충청남도 당진시 읍내동 1487,36.9004732369,126.6292377145,16718,,,,,,1998-02-09,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00011,공원:122(당진:25 원당공원),근린공원,,충청남도 당진시 원당동 1225,36.8990408,126.6402792,13733,,,,,,2000-07-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00012,봉암근린공원,근린공원,,충청남도 당진시 대덕동 1881,36.8823298602,126.6401298150,51211,,,,,,2008-04-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00013,수청근린공원,근린공원,,충청남도 당진시 수청동 1004,36.8912645867,126.6447457851,4256,,,,,,2008-04-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00014,공원:140(수청2지구),근린공원,,충청남도 당진시 수청동 산178,36.88923325,126.6515761,32249,,,,,,2017-07-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00015,공원:301(합덕:01 하운공원),근린공원,,충청남도 당진시 합덕읍 운산리 28-1,36.80105358,126.778304,78570,,,,,,1977-02-17,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00016,공원:302(합덕:02 운산공원),근린공원,,충청남도 당진시 합덕읍 운산리 941-6,36.8059625773,126.7652643772,6810,,,,,,1996-12-14,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00017,공원:303(합덕:03 교동(소들)공원),근린공원,,충청남도 당진시 우강면 창리 366-30,36.80671918,126.7789728,22870,,,,,,1985-12-26,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00018,공원:501(신평:01 신평공원),근린공원,,충청남도 당진시 신평면 금천리 산13-1,36.8856091005,126.7821793419,114530,,,,,,2000-12-23,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00019,공원:502(신평:03 거산공원),근린공원,,충청남도 당진시 신평면 거산리 62-1,36.87852686,126.758081,23451,,,,,,2000-12-23,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00020,공원:505(신평:02 금천공원),근린공원,,충청남도 당진시 신평면 금천리 산41-1,36.88760605,126.7578528,39940,,,,,,2000-12-23,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00021,공원:601(송악:01 기지시공원),근린공원,,충청남도 당진시 송악읍 기지시리 153-46,36.90227998,126.6958419,42929,,,,,,1973-07-23,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00022,공원:701(중흥:1 공원),근린공원,,충청남도 당진시 송악읍 중흥리 81-1,36.92976402,126.7500699,223923,,,,,,2009-11-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00023,공원:702(중흥:2 공원),근린공원,,충청남도 당진시 송악읍 중흥리 663-5,36.93177741,126.738099,15403,,,,,,2009-11-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00024,공원:703(중흥::3 공원),근린공원,,충청남도 당진시 송악읍 중흥리 653-1,36.92488695,126.743358,30899,,,,,,2009-11-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00025,공원:810(덕마리지구 1),근린공원,,충청남도 당진시 정미면 덕마리 305-2,36.8526904113,126.6004632963,2314,,,,,,2000-08-07,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00026,공원:811(덕마리지구 2),근린공원,,충청남도 당진시 정미면 덕마리 305-2,36.8526904113,126.6004632963,2032,,,,,,2000-08-07,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00027,공원:813(바다공원),근린공원,,충청남도 당진시 신평면 운정리 214-5,36.8918290245,126.8226069345,24496,,,,,,1983-10-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00028,공원:818(용두리지구),근린공원,,충청남도 당진시 고대면 용두리 산20-1,36.92603836,126.5996849,15367,,,,,,2016-10-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00029,공원:석문국가산업단지:1(통정공원),근린공원,,충청남도 당진시 석문면 통정리 1347,36.99728577,126.5911586,137479,,,,,,2008-06-19,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00030,공원:석문국가산업단지:2(석문공원),근린공원,,충청남도 당진시 석문면 통정리 1505,37.00229261,126.5945037,118019,,,,,,2010-03-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00031,공원:석문국가산업단지:3(달맞이공원),근린공원,,충청남도 당진시 석문면 장고항리 1208,37.0209345733,126.5807904822,9369,,,,,,2008-06-19,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00032,공원:석문국가산업단지:4(해맞이공원),근린공원,,충청남도 당진시 석문면 장고항리 1430,37.0234532650,126.5795684,30866,,,,,,2010-03-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00033,공원:석문국가산업단지:5(솔숲공원),근린공원,,충청남도 당진시 석문면 삼봉리 2240,37.0112986,126.5747634,42548,,,,,,2008-06-19,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00034,공원:석문국가산업단지:6(삼봉공원),근린공원,,충청남도 당진시 석문면 삼봉리 2151,37.01115708,126.5612936,33399,,,,,,2010-03-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00035,공원:석문국가산업단지:7(진골공원),근린공원,,충청남도 당진시 고대면 성산리 1630,36.9766045,126.5815211,122266,,,,,,2008-06-19,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00036,공원:석문국가산업단지:8(옛토성공원),근린공원,,충청남도 당진시 석문면 통정리 2029,36.97391805,126.5906887,102433,,,,,,2008-06-19,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00037,공원:송산2 일반산업단지:1(공원),근린공원,,충청남도 당진시 송산면 동곡리 산73-1,36.96974321,126.6994104,40856,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00038,공원:송산2 일반산업단지:2(파도공원),근린공원,,충청남도 당진시 송산면 가곡리 산54-8,36.96874692,126.6915638,176395,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00039,공원:송산2 일반산업단지:4(호수공원),근린공원,,충청남도 당진시 송산면 가곡리 46-51,36.99070048,126.682546,23487,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00040,공원:아산국가산단(고대:7)(고대공원),근린공원,,충청남도 당진시 송악읍 한진리 404,36.9724283720,126.7602125875,90727,,,,,,1998-02-16,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00041,공원:아산국가산단(고대:9)(해안공원),근린공원,,충청남도 당진시 송악읍 한진리 403-4,36.97606241,126.7779473,11344,,,,,,2005-10-07,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00042,공원:아산국가산단(부곡:6)(상록수공원),근린공원,,충청남도 당진시 송악읍 부곡리 566,36.9607283029,126.7805193016,77766,,,,,,1998-02-16,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00043,공원:아산국가산단(부곡:8)(한진공원),근린공원,,충청남도 당진시 송악읍 복운리 1656,36.94333223,126.7845636,19890,,,,,,1998-02-16,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00044,공원:합덕일반산업단지:1(공원),근린공원,,충청남도 당진시 합덕읍 석우리 1134,36.8166224291,126.7416644997,34549,,,,,,2008-04-03,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00045,공원:현대제철산업단지:1(송산제1공원),근린공원,,충청남도 당진시 송산면 가곡리 536,36.9973048161,126.6844394836,122058,,,,,,2006-10-25,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00046,공원:108(당진:07 진달래공원),어린이공원,,충청남도 당진시 읍내동 283-1,36.89817769,126.6314219,1600,,,,,,1986-12-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00047,공원:110(당진:09 새싹공원),어린이공원,,충청남도 당진시 읍내동 177-1,36.8902342311,126.6353899984,1700,,,,,,1986-12-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00048,공원:111(당진:10 은하공원),어린이공원,,충청남도 당진시 채운동 278-4,36.8946859,126.6226732,1800,,,,,,1986-12-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00049,공원:112(당진:11 나래공원),어린이공원,,충청남도 당진시 채운동 산3-1,36.8870643180,126.6267269463,2052,,,,,,1986-12-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00050,공원:113(당진:12 하늘공원),어린이공원,,충청남도 당진시 읍내동 1373,36.8880375170,126.6348417,1491,,,,,,2000-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00051,공원:114(당진:13 보름달공원),어린이공원,,충청남도 당진시 채운동 1042,36.8872028211,126.6306794482,1855,,,,,,2000-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00052,공원:115(당진:14 바다공원),어린이공원,,충청남도 당진시 대덕동 1522,36.8868512,126.6349617366,1514,,,,,,2000-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00053,공원:120(당진:22 하나공원),어린이공원,,충청남도 당진시 읍내동 1450,36.8977774394,126.6247315759,2251,,,,,,1998-02-09,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00054,공원:121(당진:23 우리공원),어린이공원,,충청남도 당진시 우두동 1388,36.9023557,126.6326383,1500,,,,,,1998-02-09,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00055,공원:123(당진:26 소망공원),어린이공원,,충청남도 당진시 원당동 1250,36.9021821480,126.6447176199,1803,,,,,,2005-05-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00056,공원:124(당진:27 사랑공원),어린이공원,,충청남도 당진시 원당동 1247,36.8995445875,126.6425936207,2352,,,,,,2005-05-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00057,공원:125(당진:28 호서공원),어린이공원,,충청남도 당진시 원당동 1176,36.9012481822,126.6397851820,2520,,,,,,2005-05-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00058,상상어린이공원,어린이공원,,충청남도 당진시 대덕동 1790,36.8846969,126.6346045324,1499,,,,,,2008-04-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00059,구름어린이공원,어린이공원,,충청남도 당진시 대덕동 1835,36.8849760336,126.6463184559,1495,,,,,,2008-04-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00060,무지개어린이공원,어린이공원,,충청남도 당진시 대덕동 1878,36.8820069650,126.6442476,2176,,,,,,2008-04-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00061,공원:136(수청지구),어린이공원,,충청남도 당진시 수청동 863-1,36.8973500,126.6463375,1506,,,,,,2016-12-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00062,공원:137(수청지구),어린이공원,,충청남도 당진시 수청동 849-26,36.8927558,126.6471064,1981,,,,,,2016-12-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00063,공원:141(수청2지구),어린이공원,,충청남도 당진시 수청동 261,36.887243,126.656975,2648,,,,,,2017-07-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00064,공원:304(합덕:04 서동공원),어린이공원,,충청남도 당진시 합덕읍 운산리 321-6,36.8100723,126.7683262,1529,,,,,,1978-04-12,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00065,공원:305(합덕:05 중동공원),어린이공원,,충청남도 당진시 합덕읍 운산리 251-1,36.8056761,126.7710906,1493,,,,,,1978-04-12,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00066,공원:306(합덕:06 중앙공원),어린이공원,,충청남도 당진시 합덕읍 운산리 295-20,36.8094501708,126.7737065,1500,,,,,,1978-04-12,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00067,공원:307(합덕:07 합덕공원),어린이공원,,충청남도 당진시 합덕읍 운산리 245-8,36.80403336,126.775073,1500,,,,,,1978-04-12,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00068,공원:308(합덕:09 우강공원),어린이공원,,충청남도 당진시 우강면 창리 300,36.810164,126.7843949,1500,,,,,,1985-12-26,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00069,공원:309(합덕10 우강송산지구),어린이공원,,충청남도 당진시 우강면 송산리 411-5,36.484201,126.462365,2212,,,,,,2010-12-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00070,공원:310(합덕11 우강송산지구),어린이공원,,충청남도 당진시 우강면 송산리 410,36.482458,126.462957,3245,,,,,,2010-12-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00071,공원:503(신평:05 성우공원),어린이공원,,충청남도 당진시 신평면 금천리 880-10,36.884801,126.7691922,2370,,,,,,2000-12-23,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00072,공원:504(신평:06 공간공원),어린이공원,,충청남도 당진시 신평면 거산리 877,36.8824741,126.7591698,1544,,,,,,2000-12-23,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00073,공원:602(송악:제1호공원),어린이공원,,충청남도 당진시 송악읍 기지시리 502,36.90011018,126.690048,2702,,,,,,2011-07-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00074,공원:603(송악:제2호공원),어린이공원,,충청남도 당진시 송악읍 기지시리 509,36.90088789,126.6932927,2439,,,,,,2011-07-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00075,공원:606(송악:07 어린이공원),어린이공원,,충청남도 당진시 송악읍 기지시리 457,36.9030855030,126.6948116,1802,,,,,,2009-09-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00076,공원:801(봉소리지구 3),어린이공원,,충청남도 당진시 순성면 봉소리 57-6,36.8438723720,126.7105602,2707,,,,,,2009-08-16,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00077,공원:806(한진리지구 14),어린이공원,,충청남도 당진시 송악읍 한진리85-1,36.9710884520,126.7792587279,1503,,,,,,2013-07-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00078,공원:807(상거리지구 5),어린이공원,,충청남도 당진시 송산면 상거리 311-7,36.932884,126.6828067,4293,,,,,,2006-10-25,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00079,공원:812(덕마리지구 13),어린이공원,,충청남도 당진시 정미면 덕마리343-9,36.848864,126.5986445,2161,,,,,,2013-04-22,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00080,공원:816(남산지구 어린이공원),어린이공원,,충청남도 당진시 신평면 남산리 산86-7,36.873351,126.780432,1752,,,,,,2016-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00081,공원:817(남산지구 어린이공원),어린이공원,,충청남도 당진시 신평면 신흥리 446-87,36.877654,126.7842678,1501,,,,,,2016-06-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00082,공원:819(용두리지구),어린이공원,,충청남도 당진시 고대면 용두리 668-3,36.925591,126.597317,1529,,,,,,2016-10-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00083,공원:820(용두리지구),어린이공원,,충청남도 당진시 고대면 용두리 586-1,36.928862,126.601746,1541,,,,,,2016-10-31,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00084,공원:석문국가산업단지:1(도량개들어린이공원),어린이공원,,충청남도 당진시 석문면 통정리 1838,36.97685481,126.5895307,5070,,,,,,2008-06-19,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00085,공원:송산2 일반산업단지:1(미래공원),어린이공원,,충청남도 당진시 송산면 유곡리 산1-2,36.965951,126.6879165,1663,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00086,공원:송산2 일반산업단지:2(꿈공원),어린이공원,,충청남도 당진시 송산면 유곡리 산7-1,36.96661971,126.6934082,1971,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00087,공원:송산2 일반산업단지:3(나리공원),어린이공원,,충청남도 당진시 송산면 유곡리 194-1,36.9637969,126.6938612,1523,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00088,공원:송산2 일반산업단지:4(두레공원),어린이공원,,충청남도 당진시 송산면 유곡리 495-1,36.9617478,126.6918969,1533,,,,,,2011-01-07,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00089,공원:송산2 일반산업단지:5(나라공원),어린이공원,,충청남도 당진시 송산면 유곡리 216-2,36.9617526,126.6938131,1705,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00090,공원:송산2 일반산업단지:6(유곡공원),어린이공원,,충청남도 당진시 송산면 유곡리 498-2,36.960169,126.691852,1824,,,,,,2009-09-02,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00091,공원:아산국가산단(부곡:1)(제1호어린이공원),어린이공원,,충청남도 당진시 송악읍 복운리 1631-1,36.9427536878,126.7806741483,3848,,,,,,1998-02-16,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00092,공원:합덕일반산업단지:4(공원),체육공원,,충청남도 당진시 합덕읍 소소리 680,36.8167186709,126.749597,9573,,,,,,2008-04-03,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00093,공원:합덕일반산업단지:5(공원),체육공원,,충청남도 당진시 합덕읍 소소리 681,36.8155729790,126.7498128,5831,,,,,,2008-04-03,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00094,공원:109(당진:8 서문공원),소공원,,충청남도 당진시 읍내동 560-2,36.89320136,126.6271367400,58,,,,,,2011-02-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00095,공원:134(당진:37 채운),소공원,,충청남도 당진시 채운동 1126,36.893735,126.6219112,729,,,,,,2008-10-22,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00096,공원:135(당진:44 남산공원),소공원,,충청남도 당진시 읍내동 232-40,36.8945269986,126.631857,569,,,,,,2011-02-21,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00097,공원:138(수청지구),소공원,,충청남도 당진시 수청동 867,36.8972984117,126.6471116,1077,,,,,,2016-12-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00098,공원:139(수청지구),소공원,,충청남도 당진시 수청동 849-32,36.89346951,126.6468852,733,,,,,,2016-12-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00099,공원:142(수청2지구),소공원,,충청남도 당진시 수청동 228,36.88803898,126.653543,468,,,,,,2017-07-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00100,공원:143,소공원,,충청남도 당진시 채운동 256-3,36.89294605,126.625155,215,,,,,,2017-09-29,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00101,공원:605(송악:제4호공원(송악지구),소공원,,충청남도 당진시 송악읍 기지시리 493,36.90068679,126.6894244,755,,,,,,2011-07-20,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00102,공원:607(송악:08 소공원),소공원,,충청남도 당진시 송악읍 반촌리 989,36.9046866,126.6987127,353,,,,,,2009-09-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00103,공원:608(송악:09 소공원),소공원,,충청남도 당진시 송악읍 반촌리 988,36.9041786,126.6950519,366,,,,,,2009-09-10,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00104,공원:704(중흥:04 4호 소공원),소공원,,충청남도 당진시 송악읍 중흥리 373-2,36.9388910469,126.7435019466,2099,,,,,,2009-11-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00105,공원:705(중흥:05 5호 소공원),소공원,,충청남도 당진시 송악읍 중흥리 306-1,36.942646,126.745919,1400,,,,,,2009-11-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00106,공원:706(중흥:06 중흥공원),소공원,,충청남도 당진시 송악읍 중흥리 산110,36.9263366363,126.7433060696,3107,,,,,,2009-11-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00107,공원:802(한진리지구 9),소공원,,충청남도 당진시 송악읍 한진리 108,36.9696950969,126.7800802956,1803,,,,,,2013-07-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00108,공원:803(한진리지구 10),소공원,,충청남도 당진시 송악읍 한진리 377-7,36.9692539779,126.7793314047,613,,,,,,2013-07-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00109,공원:804(한진리지구 11),소공원,,충청남도 당진시 송악읍 한진리 374,36.9696164835,126.7804488655,1162,,,,,,2013-07-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
44270-00110,공원:805(한진리지구 12),소공원,,충청남도 당진시 송악읍 한진리 374,36.9696164835,126.7804488655,674,,,,,,2013-07-30,당진시,041-350-4213,2019-11-25,6440000,충청남도,
